comparison_id,left_track,right_track,verdict,notes
Q_ONLY_vs_ORACLE,IA_Q_ONLY,IA_ORACLE_GROUNDING,DIRECT_COMPARISON_FORBIDDEN,oracle advantage
Q_ONLY_vs_FIXED_EXT,IA_Q_ONLY,IA_FIXED_EXTERNAL_GROUNDING,DIRECT_COMPARISON_FORBIDDEN,external grounding
DOMAIN_vs_DBPEDIA,IA_DOMAIN_NATIVE,IA_Q_ONLY|IA_SCHEMA_COMMON,DIRECT_COMPARISON_FORBIDDEN,KG mismatch
SCHEMA_vs_SCHEMA,IA_SCHEMA_COMMON,IA_SCHEMA_COMMON,DIRECT_COMPARISON_ALLOWED,if all other conditions match
Q_ONLY_vs_Q_ONLY,IA_Q_ONLY,IA_Q_ONLY,DIRECT_COMPARISON_ALLOWED,if all other conditions match
ORACLE_vs_ORACLE,IA_ORACLE_GROUNDING,IA_ORACLE_GROUNDING,DIRECT_COMPARISON_ALLOWED,same oracle contract
FIXED_vs_FIXED,IA_FIXED_EXTERNAL_GROUNDING,IA_FIXED_EXTERNAL_GROUNDING,DIRECT_COMPARISON_ALLOWED,same frozen linker
CROSS_TRACK_DESC,ANY,OTHER_IA,DESCRIPTIVE_CROSS_TRACK_ONLY,no ranking
MC_NATIVE_vs_CONTROLLED,MC_NATIVE_BACKBONE,MC_CONTROLLED_BACKBONE,REPORT_SEPARATELY,not causal method-only
SGPT_Q_vs_SGPT_QK,sgpt_q,sgpt_qk,DIRECT_COMPARISON_FORBIDDEN,different IA tracks
