method_id,variant_id,information_access_track,execution_style,adaptation_regime,model_control_regime,primary_or_secondary,assignment_status,dataset_candidate,requires_schema_bundle,requires_oracle,requires_external_linker,requires_training,requires_paid_api,license_gate,runtime_gate,direct_comparison_group,claim_boundary,evidence,notes,source_pin,provenance_status,payload_status,graph_status,contract_id,contract_status,metric_contract_status,g5_documentary,g5_runtime,g6d_status,g6i_status
sparql_llm,sparql_llm_schema_common_native,IA_SCHEMA_COMMON,ES_SCHEMA_RAG_VALIDATION,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,true,false,false,false,false_offline_true_online,LEGAL_VERIFIED,RUNTIME_GATE_PENDING,schema_common_e2e_generate_only,not_IA_Q_ONLY; online BLOCKED,Prompt19,generate-only,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_SPARQL_LLM_SCHEMA_COMMON_NATIVE,ADAPTER_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
sparql_llm,sparql_llm_schema_common_internal_feedback,IA_SCHEMA_COMMON,ES_SCHEMA_RAG_VALIDATION,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,secondary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,true,false,false,false,false_offline_true_online,LEGAL_VERIFIED,BLOCKED_UNTIL_G4,schema_common_internal_feedback,separate_from_generate_only,Prompt19,METHOD_INTERNAL_ENDPOINT_FEEDBACK,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_SPARQL_LLM_SCHEMA_COMMON_INTERNAL_FEEDBACK,ADAPTER_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
sparql_llm,sparql_llm_online_api_deferred,IA_SCHEMA_COMMON,ES_SCHEMA_RAG_VALIDATION,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,secondary,DEFERRED_POLICY,QALD9_PLUS_EN_DBPEDIA,true,false,false,false,true,LEGAL_VERIFIED,BLOCKED_POLICY,schema_common_e2e_paid,online deferred ZERO_COST,Prompt16/19,not executable under ZERO_COST,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,n_a_deferred,CONTRACT_BLOCKED_POLICY,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
mkgqagent,mkgqagent_q_only_agentic,IA_Q_ONLY,ES_AGENTIC_MULTI_CALL,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,false,false,false,false,true,LEGAL_GATE_PENDING,RUNTIME_GATE_PENDING,q_only_e2e,CONTRACT_BLOCKED_LEGAL,Prompt19,legal blocked,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_MKGQAGENT_Q_ONLY,CONTRACT_BLOCKED_LEGAL,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
sgpt,sgpt_q,IA_Q_ONLY,ES_SUPERVISED_GENERATOR,AR_SUPERVISED_TRAIN_SPLIT,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,false,false,false,true,false,LEGAL_VERIFIED,RUNTIME_GATE_PENDING,q_only_supervised,never_vs_sgpt_qk,Prompt19,,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_SGPT_Q,ADAPTER_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
sgpt,sgpt_qk,IA_ORACLE_GROUNDING,ES_SUPERVISED_GENERATOR,AR_ORACLE_INPUT,MC_NATIVE_BACKBONE,secondary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,false,true,false,true,false,LEGAL_VERIFIED,RUNTIME_GATE_PENDING,oracle_grounding,FORBIDDEN_vs_IA_Q_ONLY,Prompt19,,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_SGPT_QK,ADAPTER_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
rdfconfig_llm,rdfconfig_domain_native,IA_DOMAIN_NATIVE,ES_DETERMINISTIC_SCHEMA_CONSTRUCTION,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,DOMAIN_NATIVE_BGEE_RHEA_UNIPROT,true_domain,false,false,false,true,LEGAL_GATE_PENDING,RUNTIME_GATE_PENDING,domain_native_life_science,CONTRACT_DOMAIN_NATIVE_ONLY; legal blocked,Prompt19,resolved from dual track,,n_a,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_RDFCONFIG_DOMAIN_NATIVE,CONTRACT_DOMAIN_NATIVE_ONLY,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
rdfconfig_llm,rdfconfig_schema_common_dbpedia,IA_SCHEMA_COMMON,ES_DETERMINISTIC_SCHEMA_CONSTRUCTION,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,secondary,NEGATIVE_CONTRACT,QALD9_PLUS_EN_DBPEDIA,true,false,false,false,true,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_MISSING_ARTIFACT,n_a,ADAPTER_NEGATIVE_CONTRACT_DEFINED,Prompt19,toy dbpedia YAML ≠ common QALD bundle,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_RDFCONFIG_SCHEMA_COMMON_DBPEDIA_NEGATIVE,ADAPTER_NEGATIVE_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
cot_sparql,cot_native_external_services,IA_FIXED_EXTERNAL_GROUNDING,ES_COT_RETRIEVAL,AR_FEW_SHOT_TRAIN_ONLY,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,false,false,true,false,false,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_RUNTIME,fixed_external_native,legal+runtime+artifact blocked,Prompt19,,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_COT_SPARQL_NATIVE_EXTERNAL,CONTRACT_BLOCKED_LEGAL,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
cot_sparql,cot_common_frozen_grounding,IA_FIXED_EXTERNAL_GROUNDING,ES_COT_RETRIEVAL,AR_FEW_SHOT_TRAIN_ONLY,MC_NATIVE_BACKBONE,secondary,CONTRACT_ASSIGNED,QALD9_PLUS_EN_DBPEDIA,false,false,true_frozen,false,false,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_RUNTIME,fixed_external_frozen,controlled_not_native,Prompt19,future controlled variant,8eb038a61e1bc09cbd21640aa667a1714f53cda4,SOURCE_PROVENANCE_DOCUMENTED,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_COT_SPARQL_FROZEN_GROUNDING,ADAPTER_CONTRACT_DEFINED,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
firesparql,firesparql_raw_generation,IA_DOMAIN_NATIVE,ES_DOMAIN_FINETUNED_RAG,AR_DOMAIN_RETRAINED,MC_NATIVE_BACKBONE,primary,CONTRACT_ASSIGNED,ORKG_SCIQA_NATIVE,false,false,false,true,false,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_MISSING_NATIVE_SURFACE,domain_orkg_raw,not_QALD; legal+missing_surface,Prompt19,,,n_a,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_FIRESPARQL_DOMAIN_NATIVE,CONTRACT_DOMAIN_NATIVE_ONLY,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
firesparql,firesparql_cleaned_generation,IA_DOMAIN_NATIVE,ES_DOMAIN_FINETUNED_RAG,AR_DOMAIN_RETRAINED,MC_NATIVE_BACKBONE,secondary,CONTRACT_ASSIGNED,ORKG_SCIQA_NATIVE,false,false,false,true,true,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_POLICY,domain_orkg_cleaned,separate_from_raw,Prompt19,gpt-4o cleaning,,n_a,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_FIRESPARQL_CLEANED,CONTRACT_DOMAIN_NATIVE_ONLY,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
firesparql,firesparql_rag,IA_DOMAIN_NATIVE,ES_DOMAIN_FINETUNED_RAG,AR_DOMAIN_RETRAINED,MC_NATIVE_BACKBONE,secondary,CONTRACT_ASSIGNED,ORKG_SCIQA_NATIVE,false,false,false,true,false,LEGAL_GATE_PENDING,CONTRACT_BLOCKED_MISSING_NATIVE_SURFACE,domain_orkg_rag,separate,Prompt19,,,n_a,DATASET_PAYLOAD_NOT_ACQUIRED,GRAPH_SNAPSHOT_PENDING,AC_FIRESPARQL_RAG,CONTRACT_DOMAIN_NATIVE_ONLY,METRIC_CONTRACT_DEFINED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING
tebaqa,tebaqa_historical,IA_HISTORICAL,ES_TEMPLATE_HISTORICAL,AR_NATIVE_RELEASED_ASSET,MC_NATIVE_BACKBONE,historical,HISTORICAL_ONLY,HISTORICAL_ONLY,false,false,false,false,false,LEGAL_VERIFIED_AGPL,NOT_APPLICABLE,historical,HISTORICAL_ONLY,Prompt19,no active adapter,,n_a,n_a,n_a,n_a,CONTRACT_HISTORICAL_ONLY,n_a,n_a,n_a,n_a,n_a
