dependency,declared_in,version_pin,install_channel,required_by,pip_installable_as_listed,license_gate,local_feasibility,evidence_tag,notes
python,environment.yml,3.10.0,conda,runtime,n_a,LICENSE_NOT_CONFIRMED_repo,ok_host_3.10.12,CODE_VERIFIED,env name sparqlgen
torch,environment.yml;requirements.txt,2.1.1,pip_via_conda_env,GPTQ;REBEL;MiniLM,yes_if_from_yml,n_a,VRAM_bound_for_34B,CODE_VERIFIED,no import in this audit
transformers,environment.yml;requirements.txt,4.32.1,pip_via_conda_env,pipeline;AutoTokenizer,yes_if_from_yml,n_a,conditional,CODE_VERIFIED,
auto-gptq,environment.yml;requirements.txt,0.4.2,pip_via_conda_env,from_quantized,yes_if_from_yml,n_a,needs_cuda,CODE_VERIFIED,
accelerate,environment.yml;requirements.txt,0.22.0,pip_via_conda_env,imported_unused_in_main,yes_if_from_yml,n_a,n_a,CODE_VERIFIED,dead import
sentence-transformers,environment.yml;requirements.txt,2.2.2,pip_via_conda_env,contextb MiniLM,yes_if_from_yml,n_a,needs_HF_download,CODE_VERIFIED,load_at_import
spacy,environment.yml;requirements.txt,3.7.2,pip_via_conda_env,contexta,yes_if_from_yml,n_a,conditional,CODE_VERIFIED,
en-core-web-lg,environment.yml;requirements.txt,3.7.1,pip_via_conda_env,EL/RL base,yes_if_from_yml,n_a,download_required,CODE_VERIFIED,
spacy-dbpedia-spotlight,environment.yml;requirements.txt,0.2.6,pip_via_conda_env,dbpedia EL,yes_if_from_yml,n_a,needs_Spotlight_service,CODE_VERIFIED,
spacyfishing,environment.yml;requirements.txt,0.1.8,pip_via_conda_env,wikidata EL,yes_if_from_yml,n_a,needs_EntityFishing,CODE_VERIFIED,
scikit-learn,environment.yml;requirements.txt,1.3.2,pip_via_conda_env,cosine_similarity,yes_if_from_yml,n_a,ok,CODE_VERIFIED,
pandas;pyarrow,environment.yml,pandas 2.1.3,pip_via_conda_env,parquet examples,yes_if_from_yml,n_a,ok,CODE_VERIFIED,
requests,environment.yml;requirements.txt,2.31.0,pip_via_conda_env,Falcon;Wikidata;validation,yes_if_from_yml,n_a,network,CODE_VERIFIED,no timeouts
requirements.txt_as_pip,README Without Conda,conda_export_syntax,claimed_pip,full_env,NO_not_pip_installable,LICENSE_NOT_CONFIRMED,blocked_misleading_README,CODE_VERIFIED;README_REPORTED,pkg=ver=build lines
