method_id,dataset,split,path,n_records,size_bytes,sha256,kg,question_field,sparql_field,entity_field,has_pos,has_dep,dups_q_sparql,evidence_tag
sgpt,lcquad2,train,data/lcquad2/train.json,21497,85907717,e001876e4329e4c2144c8aea9f6c2b012c5342ad0210ea38de4c9a17c7fdbb23,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,yes,yes,303,DATA_VERIFIED
sgpt,lcquad2,val,data/lcquad2/val.json,2389,9550849,c521855f6bbd69a1d0ad4fc1735d6c8d10721570cf96de9e755682d125744c9b,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,yes,yes,6,DATA_VERIFIED
sgpt,lcquad2,test,data/lcquad2/test.json,5969,23742690,0f1b754e04de08df34cb6cc12b1eceac61dbe92fbbe5b9935ae0cdff19bcbb5c,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,yes,yes,19,DATA_VERIFIED
sgpt,lcquad2,train_original,data/lcquad2/original/train.json,21497,25208541,cd8f37d873deb17b3b9c8c06514da1ba05d747d78ae306c16fc4ba40214faab6,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,no,no,303,DATA_VERIFIED
sgpt,lcquad2,val_original,data/lcquad2/original/val.json,2389,2792441,256b52621f26a4e88df7c7ec61624dfcc33af5ae40fdaf3d1ebbfa980a480b06,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,no,no,6,DATA_VERIFIED
sgpt,lcquad2,test_original,data/lcquad2/original/test.json,5969,6973408,c159b4928736aeefee965bc642df52452d8efe840fe013fa461bf00679a7c89a,Wikidata,question,sparql_wikidata,new_LabelsEnt;entities;ent_id,no,no,19,DATA_VERIFIED
sgpt,qald9,train,data/qald9/train.json,350,976231,a6450755d6ce12cba8ed8825d376a2776cf36e40b2f0503d2372338470d0de32,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,qald9,val,data/qald9/val.json,58,163540,a07e1606377eeec7f23074b12f03e5e3becce09257f364775b89518a273d6c1f,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,qald9,test,data/qald9/test.json,150,428625,a5c4935beecfcf621f8f21783d108168ed652d7488c757e6a3f7c1b801e0df83,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,qald9,train_original,data/qald9/original/train.json,350,245931,31ece7d4e38f3728a235c28b899ad4c86b1ad4c4da6d9673b419650bd2ff9f88,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,3,DATA_VERIFIED
sgpt,qald9,val_original,data/qald9/original/val.json,58,40729,1fdcdf05231031554ed0520f19f7ce33b355225527d4b749ae4b2cc5f0b4dc91,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,0,DATA_VERIFIED
sgpt,qald9,test_original,data/qald9/original/test.json,150,142237,92879a69a6c1c10b354973e99255ec5432b74a0e9b2f739258687d657576e731,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,0,DATA_VERIFIED
sgpt,vquanda,train,data/vquanda/train.json,3500,12424331,6ea97491d147b35ff3127124b3ddffd13b5f9470ed3f2c229022e9a6ce16fb11,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,vquanda,val,data/vquanda/val.json,500,1812236,c5ffda5335f6cb85a3003b635a0e7fe06fb9f521196ade066017627ee5b66b49,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,vquanda,test,data/vquanda/test.json,1000,3536610,864185be547ba46e192cf72c8a2dd132d3150ddb678ebd6ddd27094233f29f66,DBpedia,question;en_ques,sparql;fil_sparql,entities,yes,yes,0,DATA_VERIFIED
sgpt,vquanda,train_original,data/vquanda/original/train.json,3500,2201992,58eff45185c6eaef5a85db443252f5ef04561d532bb0179ebce9ba40e9a69bfd,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,0,DATA_VERIFIED
sgpt,vquanda,val_original,data/vquanda/original/val.json,500,316201,fa732ceee2b910407dda986f6cfbd01c16babc8aba6ec3347431058e34c16adf,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,0,DATA_VERIFIED
sgpt,vquanda,test_original,data/vquanda/original/test.json,1000,620787,39bc7a69786a710ee8c0f5be1628dfd2fd8d003dd185c56f6959a50de30a0dbd,DBpedia,en_ques,sparql;fil_sparql,entities,no,no,0,DATA_VERIFIED
